table[0]:  2 0
table[4]: whate'er 2 0
table[8]: cried 20 0
table[19]: scratching 1 0
table[23]: cries 3 0
table[69]: cure 5 0
table[73]: enemy 5 0
table[97]: a 865 0
table[99]: c 1 0
table[100]: d 1 0
table[101]: e 6 0
table[105]: i 815 0
table[109]: m 4 0
table[111]: o 55 0
table[112]: p 1 0
table[116]: t 1 0
table[118]: v 2 0
table[119]: w 1 0
table[120]: x 2 0
table[158]: consider 5 0
table[177]: grievances 2 0
table[229]: energetic 1 0
table[233]: shilling 1 0
table[257]: crime 6 0
table[304]: whence 3 0
table[325]: tombs 1 0
table[373]: howled 1 0
table[376]: caught 3 0
table[378]: peeped 3 0
table[389]: writhing 1 0
table[391]: painter's 1 0
table[429]: occasional 1 0
table[433]: derives 1 0
table[436]: impartial 1 0
table[441]: cupid 3 0
table[449]: salve 2 0
table[454]: forehead 2 0
table[494]: hungry 5 0
table[515]: suff'ring 1 0
table[526]: alchemy 2 0
table[611]: act 6 0
table[617]: gentle 14 0
table[623]: ada 1 0
table[626]: add 4 0
table[635]: 'gainst 6 0
table[637]: gently 4 0
table[648]: hate's 1 0
table[664]: forward 1 0
table[670]: affords 2 0
table[672]: mayn't 1 0
table[720]: age 20 0
table[730]: ago 2 0
table[781]: aid 3 0
table[795]: air 19 0
table[798]: pray 4 0
table[812]: lamentation 1 0
table[823]: gentry 1 0
table[840]: neigh 1 0
table[842]: swears 1 0
table[845]: acceptable 1 0
table[864]: delight 11 0
table[882]: all 313 0
table[900]: limbs 3 0
table[910]: slowness 1 0
table[922]: prey 2 0
table[932]: would 116 0
table[934]: neglect 2 0
table[936]: and 1463 0
table[946]: ann 4 0
table[947]: sullen 2 0
table[957]: any 56 0
table[979]: stirring 2 0
table[981]: defendant 1 0
table[994]: wound 5 0
table[1020]: fever 2 0
table[1024]: barrowful 2 0
table[1045]: twenty 5 0
table[1061]: are 140 0
table[1069]: arm 16 0
table[1073]: hatter's 1 0
table[1076]: art 51 0
table[1097]: respects 1 0
table[1098]: ask 12 0
table[1112]: chimney 6 0
table[1118]: limit 2 0
table[1123]: ate 1 0
table[1147]: plagues 2 0
table[1182]: favour 5 0
table[1215]: reduced 1 0
table[1237]: heart's 8 0
table[1240]: harsh 1 0
table[1268]: keeping 2 0
table[1278]: aye 1 0
table[1298]: barking 1 0
table[1305]: were't 1 0
table[1314]: 'i 3 0
table[1325]: 't 2 0
table[1340]: backs 1 0
table[1350]: office 1 0
table[1375]: ransom 2 0
table[1379]: tones 2 0
table[1414]: churl 2 0
table[1451]: secret 2 0
table[1476]: sovereign 5 0
table[1489]: vaunt 1 0
table[1494]: bad 9 0
table[1497]: bag 1 0
table[1508]: bar 1 0
table[1510]: bat 3 0
table[1515]: bay 1 0
table[1524]: respecting 1 0
table[1587]: upset 3 0
table[1596]: wags 1 0
table[1618]: bed 4 0
table[1619]: bee 1 0
table[1621]: beg 9 0
table[1641]: longitude 2 0
table[1644]: contradicted 1 0
table[1651]: wail 2 0
table[1659]: wait 3 0
table[1694]: jest 1 0
table[1706]: wake 3 0
table[1713]: repair 3 0
table[1722]: decrees 1 0
table[1742]: bid 2 0
table[1743]: walk 6 0
table[1745]: big 1 0
table[1754]: permit 1 0
table[1756]: judgement 2 0
table[1758]: bit 16 0
table[1780]: messages 2 0
table[1781]: attempt 1 1
table[1799]: wane 1 0
table[1814]: want 14 0
table[1816]: vendible 1 0
table[1827]: sands 1 0
table[1828]: possesseth 1 1
table[1840]: ashes 1 0
table[1843]: dispositions 1 0
table[1911]: truly 5 0
table[1922]: ward 2 0
table[1931]: warm 1 0
table[1937]: wars 1 0
table[1942]: trumpet 3 0
table[1943]: wary 1 0
table[1947]: bow 2 0
table[1948]: box 10 0
table[1949]: boy 6 0
table[1954]: lines 9 0
table[1957]: wash 2 0
table[1958]: soundless 1 0
table[1959]: furious 1 0
table[1960]: deceive 3 0
table[1967]: exchequer 1 0
table[1970]: embassage 1 0
table[1982]: moving 5 0
table[2030]: privilege 1 0
table[2051]: 'will' 4 0
table[2053]: pricked 1 0
table[2056]: splashed 1 0
table[2060]: setting 2 0
table[2062]: flesh 4 0
table[2068]: tendered 1 0
table[2074]: glaring 1 0
table[2080]: hearsay 1 0
table[2103]: clears 1 0
table[2114]: bud 2 0
table[2123]: trust 6 0
table[2126]: abused 1 0
table[2130]: but 353 0
table[2131]: discipled 1 1
table[2134]: interrupt 1 0
table[2135]: buy 1 0
table[2141]: abuses 1 0
table[2142]: truth 23 0
table[2154]: ways 1 0
table[2155]: question 20 0
table[2171]: upright 1 0
table[2172]: folly 4 1
table[2175]: trotting 2 0
table[2200]: beyond 1 0
table[2202]: beloved 6 0
table[2203]: blamed 2 1
table[2204]: benedictine 2 1
table[2229]: atheling 1 0
table[2230]: haste 5 1
table[2239]: bye 2 0
table[2240]: cured 1 1
table[2242]: driest 1 0
table[2254]: cures 1 0
table[2257]: disappeared 2 0
table[2258]: avoid 1 0
table[2265]: queens 1 0
table[2324]: quadrille 4 0
table[2354]: glorious 1 0
table[2368]: attends 1 0
table[2378]: regular 2 0
table[2426]: revolt 1 0
table[2439]: sourly 2 0
table[2450]: largess 1 0
table[2451]: largest 1 0
table[2463]: enforced 1 0
table[2465]: can 86 0
table[2467]: cap 1 0
table[2469]: car 1 0
table[2471]: cat 35 0
table[2472]: curls 3 1
table[2477]: curly 1 0
table[2478]: variations 1 0
table[2495]: gazers 1 0
table[2497]: mortality 2 0
table[2503]: cloying 1 0
table[2527]: converted 2 0
table[2529]: convert 1 0
table[2546]: gazeth 1 0
table[2611]: praise 30 0
table[2659]: honesty 2 0
table[2663]: hate' 3 0
table[2674]: curse 2 0
table[2682]: william's 1 0
table[2689]: tibey 1 0
table[2690]: peevish 1 1
table[2701]: states 6 0
table[2715]: canterbury 1 0
table[2720]: travelled 1 0
table[2724]: hated 2 0
table[2756]: aside 3 0
table[2765]: buttered 1 0
table[2802]: graceful 1 0
table[2907]: dispense 1 0
table[2910]: rondure 1 0
table[3003]: cry 5 0
table[3022]: salving 1 0
table[3024]: hateth 1 0
table[3050]: william 11 0
table[3087]: cup 3 0
table[3089]: cur 1 0
table[3091]: cut 6 0
table[3111]: ah 12 0
table[3116]: am 56 0
table[3117]: an 82 0
table[3119]: breeds 2 0
table[3122]: as 396 0
table[3123]: at 243 0
table[3128]: applause 1 0
table[3129]: ay 3 1
table[3139]: be 339 0
table[3144]: hearted 1 0
table[3159]: by 176 0
table[3180]: willingly 1 0
table[3182]: approof 1 0
table[3201]: de 2 0
table[3210]: witnesses 2 0
table[3211]: do 176 0
table[3235]: eh 1 0
table[3288]: o'ertake 1 0
table[3294]: i' 2 0
table[3295]: sorrows 4 0
table[3303]: slipped 3 0
table[3304]: go 61 0
table[3325]: he 198 0
table[3329]: excuse 6 0
table[3333]: hm 1 0
table[3344]: world's 5 0
table[3357]: if 171 0
table[3360]: ii 2 0
table[3364]: blanks 1 0
table[3365]: in 760 0
table[3370]: is 311 0
table[3371]: it 675 0
table[3373]: iv 2 0
table[3375]: ix 2 0
table[3398]: approve 3 0
table[3437]: day 58 0
table[3442]: benefit 2 0
table[3447]: willing 2 0
table[3459]: appearing 2 0
table[3460]: lo 3 1
table[3476]: ma 2 0
table[3480]: me 243 0
table[3481]: o' 1 1
table[3500]: my 481 0
table[3504]: favourites 1 0
table[3521]: no 185 0
table[3543]: of 980 0
table[3545]: oh 45 0
table[3551]: on 285 0
table[3552]: debateth 1 1
table[3555]: or 178 0
table[3558]: ou 1 0
table[3567]: describing 1 0
table[3612]: insufficiency 1 0
table[3635]: re 2 0
table[3636]: t' 1 1
table[3643]: eyelids 3 0
table[3657]: nearer 5 0
table[3664]: did 92 0
table[3665]: die 15 0
table[3667]: dig 2 0
table[3668]: shrinking 4 0
table[3669]: sh 2 0
table[3676]: so 317 0
table[3682]: construed 1 0
table[3699]: whoever 2 0
table[3703]: gentlemen 1 0
table[3707]: to 1226 0
table[3722]: buried 6 0
table[3739]: up 124 0
table[3742]: us 24 0
table[3759]: strains 1 0
table[3763]: vi 2 0
table[3767]: untainted 1 0
table[3787]: breeze 1 0
table[3790]: we 56 0
table[3799]: ruining 1 0
table[3825]: xi 1 0
table[3851]: ceiling 1 0
table[3852]: ye 3 0
table[3853]: dog 2 0
table[3854]: became 2 3
table[3870]: contented 4 0
table[3881]: nearly 12 0
table[3915]: style 3 0
table[3952]: gain 4 0
table[3958]: gait 1 0
table[3964]: dry 9 0
table[4009]: pull 1 0
table[4037]: due 7 0
table[4046]: dun 1 0
